"Megmosatom a kocsit.","Jag får bilen tvättad."
"Megíratja velük a levelet.","Hon låter dem skriva brevet."
"Megfesteti a szobát a festővel.","Han får målaren att måla rummet."
"Megjavíttatja az autót a szerelővel.","Hon låter mekanikern laga bilen."
"Megtakaríttatja a lakást.","Han får lägenheten städad."
"Megvarratja a ruháját a szabóval.","Hon låter skräddaren sy klänningen."
"Lefordíttatja a szöveget.","Han får texten översatt."
"Megépítteti az új házat.","De låter det nya huset byggas."
"Megvágatta a haját.","Hon fick håret klippt."
"Megíratja velünk a jelentést.","Han låter oss skriva rapporten."
"Elvégeztetik a munkát a diákokkal.","De får studenterna att utföra arbetet."
"Elkészítteti az ebédet a szakácssal.","Hon låter kocken laga maten."
