"Megcsináltattam volna a fogam, ha lett volna rá pénzem.","Jag skulle ha låtit laga min tand, om jag hade haft pengar till det."
"Levágattam volna a hajamat, ha korábban értem volna rá.","Jag skulle ha låtit klippa mitt hår, om jag hade haft tid tidigare."
"Megjavíttattam volna az autómat, ha tudtam volna, hogy megromlik.","Jag skulle ha låtit reparera min bil, om jag hade vetat att den skulle gå sönder."
"Lefordíttattam volna a szerződést, ha szükségem lett volna rá.","Jag skulle ha låtit översätta kontraktet, om jag hade behövt det."
"Megírattam volna a meghívókat, ha tudtam volna, ki jön.","Jag skulle ha låtit skriva inbjudningarna, om jag hade vetat vem som skulle komma."
"Kitakaríttattam volna a lakást, ha vendégeket vártam volna.","Jag skulle ha låtit städa lägenheten, om jag hade väntat gäster."
"Megvarrattam volna a ruhát, ha még divatban lett volna.","Jag skulle ha låtit sy klänningen, om den fortfarande hade varit modern."
"Megépíttettem volna a kerítést, ha lett volna hozzá anyagom.","Jag skulle ha låtit bygga staketet, om jag hade haft material till det."
"Megtaníttattam volna a gyereket zongorázni, ha akarta volna.","Jag skulle ha låtit barnet lära sig spela piano, om det hade velat."
"Megmosattam volna a ruhákat, ha lett volna mosógépem.","Jag skulle ha låtit tvätta kläderna, om jag hade haft en tvättmaskin."
"Kijavíttattam volna a tetőt, ha időben észrevettem volna a problémát.","Jag skulle ha låtit reparera taket, om jag hade märkt problemet i tid."
"Megmérettem volna a szobát, ha lett volna méterszalagom.","Jag skulle ha låtit mäta rummet, om jag hade haft ett måttband."
